Day_Time,Meal_Served,People_Served,Location,Name_of_Program
Monday - Friday: 6:15 - 7:00 A.M.,Breakfast,OPEN TO ALL ,"2515 Western Ave.,  Seattle",Millionair Club Charity
Sunday - Thursday 5:30 - 8:30 A.M.,Breakfast,OPEN TO ALL,"8201 10th Ave S., Seattle",South Park Breakfast Bunch
Monday - Friday 7:00 - 9:30 A.M.,  ,AMERICAN INDIANS ONLY,"410 2nd Ave. Extension So., Seattle",Chief Seattle Club
"Chapel required prior to meal service.  There are 3 daily Chapel services to choose from: 7-7:30 A.M., 7:45-8:15 A.M., 8:30-9 A.M.  (Meal served following each service.)",Breakfast,OPEN TO ALL,"318 2nd Ave. S. Extension,  Seattle",Union Gospel Mission
Monday - Friday: 8:30 - 11:00 A.M. (Sack lunch for the day),Breakfast,OPEN TO ALL,"232 Warren Ave. North, Suite B, Seattle",Sacred Heart Church/SVDP Society
Daily: 1st seating is 7:20 - 7:50 A.M. (overnight guests only)                                                               2nd seating is 8:10 - 8:40 A.M. (day program clients),Breakfast,WOMEN 18 AND OLDER,"2030 3rd Ave, Seattle",YWCA Angeline's Meals Program
3 Breakfasts per week on variable days: 8:00 A.M.,Breakfast,OPEN TO 55+ ,"85 Pike St.  #200,  Seattle",Pike Market Senior Center
Daily: 8:00 A.M.,Breakfast,OPEN TO MEN 50+ ,"1561 Alaskan Way S.,  Seattle",Saint Martin's de Porres Shelter
Monday - Friday: Breakfast 8:00 - 9:00 A.M.,Breakfast,OPEN TO ALL,"Outdoor Meal Site at 6th and Columbia, Seattle",Operation Sack Lunch
Monday - Friday: 8:30 - 9:30 A.M.; Saturdays: 10:00 A.M.,Breakfast,OPEN TO WOMEN & CHILDREN ONLY,"210 Dexter Avenue, Seattle",Mary's Place / Church of Mary Magdalene
Tuesday - Sunday: 9:00 - 11:00 A.M.,Breakfast,OPEN TO ALL,"508 Broadway, Seattle",Our Lady of Mt. Carmel
3rd Sunday: Hot Brunch 10:00  - 11:00 A.M.,Breakfast,OPEN TO ALL,"Outdoor Meal Site at 6th and Columbia, Seattle",Mother's Kitchen
"Mon, Tues, Thurs, & Fri: 10:00  - 11:00 A.M.",Breakfast,YOUTH 22 AND YOUNGER,"2709 3rd Ave., Seattle",New Horizons Ministries
Last Sunday of Each Month / November - March: 8:00 - 10:00 AM,Breakfast,OPEN TO ALL,"Outdoor Meal Site at 6th and Columbia, Seattle",Magic Works Alumni
Fridays: 10:30 A.M.,Lunch,OPEN TO ALL,"919 King Street, Seattle",ACRS Food Bank
Tuesday through Friday: 11:00 A.M.- 1:00 P.M.,Lunch,OPEN TO YOUTH UP TO  AGE 21,"1814 Summit Ave.,  Seattle",(PSKS) Peace for the Streets by Kids from the Streets
2nd  and 4th Sunday: 11:00 A.M. to 12:30 P.M.,Lunch,OPEN TO ALL,"Outdoor Meal Site at 6th and Columbia, Seattle",Set Free Ministries
Tuesdays: 11:00 A.M. - 1:00 P.M.,Lunch,Primarily low-income Samoan seniors,"3204 SW Holly St., Seattle (Holly Park Comm. Center)",Samoana Senior Club
Fridays: 11:00 A.M. - 1:00 P.M.,Lunch,Primarily low-income Tongan & PI Seniors,"2801 SW Thistle Street, Seattle",Friendly Island of Tonga Seniors
"Daily  1st seating: 11:30 A.M. -12:00 P.M.,  2nd seating: 12:30-1:00 P.M.",Lunch,WOMEN 18 AND OLDER,"2030 3rd Ave, Seattle",YWCA Angeline's Meals Program
Monday - Friday: 11:30 A.M.. - 12:30 P.M.,Lunch,OPEN TO AGES 60+,"409 Maynard Ave South, Seattle",Legacy House Nutrition Program
Tuesday and Friday 11:30 A.M. - 12:30 P.M.,Lunch,OPEN TO ALL,"3639 Martin Luther King Way, Seattle ",Emergency Senior Nutrition Program
Fridays: 11:30 A.M. - 12:30 P.M.,Lunch,OPEN TO ALL,5710 22nd Ave. NW  Seattle,Saint Luke's Episcopal Church
Tuesdays: 11:30 A.M.,Lunch,OPEN TO ALL,"8201 10th Ave South, Seattle",Latino Lunch
Wednesday & Friday: 11:30 A.M.,Lunch,OPEN TO ALL,"8201 10th Ave South, Seattle",PAEP/Polynesian Nutrition Program
Tuesdays & Fridays: 11:30 A.M. - 1:00 P.M.,Lunch,Primarily low-income Samoans,"330 19th Ave, Seattle",ACRS/Korean Senior Club
